product_id,product_name,category_id,supplier_id,cost_price,selling_price,stock_quantity
1,Smartphone Samsung Galaxy,1,1,15000,18000,120
2,Laptop HP Pavilion,1,2,45000,52000,50
3,Bluetooth Headphones,1,3,1500,2500,200
4,LED Television 43 inch,1,4,28000,35000,70
5,Wireless Mouse,1,5,500,900,300
6,Keyboard Mechanical,1,6,1200,2000,150
7,Smart Watch,1,7,2500,4000,100
8,Power Bank,1,8,800,1500,250
9,Mobile Charger,1,9,400,800,400
10,Tablet Android,1,10,12000,16000,80
11,Cotton T Shirt,2,3,400,800,300
12,Denim Jeans,2,4,900,1800,200
13,Formal Shirt,2,5,700,1400,150
14,Jacket Winter Wear,2,6,1500,3000,100
15,Sports Track Pants,2,7,600,1200,180
16,Women Kurti,2,8,500,1000,250
17,Saree Designer,2,9,1200,2500,120
18,Casual Shoes,9,10,1500,3000,100
19,Running Shoes,9,1,2000,4500,90
20,Leather Belt,10,2,300,700,250
21,Sofa Set 5 Seater,3,4,25000,40000,20
22,Dining Table,3,5,18000,30000,30
23,Office Chair,3,6,5000,9000,60
24,Bed Wooden,3,7,20000,35000,25
25,Bookshelf,3,8,6000,10000,40
26,Study Table,3,9,4000,8000,70
27,Coffee Table,3,10,3000,6000,50
28,Plastic Chair,3,1,500,1000,200
29,Mattress Double Bed,3,2,7000,12000,40
30,Wardrobe Wooden,3,3,15000,25000,30
31,Rice 5kg,4,5,250,400,500
32,Wheat Flour 10kg,4,6,350,600,400
33,Sugar 5kg,4,7,180,300,350
34,Cooking Oil 5L,4,8,500,750,300
35,Coffee Powder,4,9,250,450,200
36,Tea Pack,4,10,150,300,300
37,Biscuits Pack,4,1,50,100,500
38,Chocolate Box,4,2,200,350,250
39,Cold Drink Pack,4,3,250,400,200
40,Snacks Combo,4,4,300,550,180
41,Face Wash,5,5,120,250,300
42,Shampoo Bottle,5,6,200,400,250
43,Body Lotion,5,7,150,300,200
44,Perfume,5,8,500,1200,100
45,Hair Oil,5,9,100,200,400
46,Moisturizer,5,10,180,350,250
47,Lipstick,5,1,200,500,150
48,Sunscreen,5,2,250,600,120
49,Face Cream,5,3,300,700,150
50,Makeup Kit,5,4,800,1500,80
51,Cricket Bat,6,5,1200,2500,100
52,Football,6,6,500,1000,150
53,Badminton Racket,6,7,800,1800,120
54,Yoga Mat,6,8,400,900,200
55,Gym Gloves,6,9,300,700,150
56,Skipping Rope,6,10,100,300,250
57,Cycle Helmet,6,1,500,1200,100
58,Volleyball,6,2,400,800,120
59,Tennis Ball Set,6,3,200,500,300
60,Fitness Tracker,6,4,2000,4000,90
61,Novel Book,7,5,150,300,200
62,Programming Book,7,6,400,800,150
63,Engineering Book,7,7,500,1000,100
64,Story Book,7,8,200,450,250
65,Dictionary,7,9,300,600,80
66,Exam Preparation Book,7,10,350,700,200
67,Notebook Pack,7,1,100,250,500
68,Pen Set,7,2,50,150,600
69,Drawing Book,7,3,80,200,300
70,Magazine,7,4,50,120,400
71,Refrigerator,8,5,25000,35000,40
72,Washing Machine,8,6,20000,30000,50
73,Microwave Oven,8,7,6000,10000,70
